URL,Name,Submittor(s),Submittor parties,VVD,PVV,CDA,D66,GroenLinks,SP,PvdA,ChristenUnie,PvdD,50PLUS,DENK,SGP,FvD,Krol,Van Kooten-Arissen
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z25076&did=2020D52632,de klimaatcrisis organiseren,"['Esther Ouwehand', 'Jesse Klaver']","['Partij voor de Dieren', 'GroenLinks']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24919&did=2020D52325,het organiseren van een hoorzitting,"['Pieter Omtzigt', 'Helma Lodders', 'Eppo Bruins', 'Renske Leijten', 'Madeleine van Toorenburg']","['Christen-Democratisch Appèl', 'Volkspartij voor Vrijheid en Democratie', 'ChristenUnie', 'Socialistische Partij', 'Christen-Democratisch Appèl']",,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24920&did=2020D52326,een standaard voor onderzoek naar overheidshandelen,"['Pieter Omtzigt', 'Eppo Bruins']","['Christen-Democratisch Appèl', 'ChristenUnie']",,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24916&did=2020D52322,gebruik van politiegegevens bij de afgifte van een vog,"['Helma Lodders', 'Pieter Omtzigt', 'Renske Leijten']","['Volkspartij voor Vrijheid en Democratie', 'Christen-Democratisch Appèl', 'Socialistische Partij']",1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24917&did=2020D52323,breder wetenschappelijk onderzoek naar kwetsbaarheden in het integriteitsbeleid,"['Helma Lodders', 'Steven van Weyenberg']","['Volkspartij voor Vrijheid en Democratie', 'Democraten 66']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24918&did=2020D52324,aandacht voor snelle en eerlijke informatie uit de Belastingdienst,['Renske Leijten'],['Socialistische Partij'],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24879&did=2020D52227,met de regionale ontwikkelingsmaatschappijen een samenwerkingsvorm onderzoeken,"['Mustafa Amhaouch', 'Arne Weverling']","['Christen-Democratisch Appèl', 'Volkspartij voor Vrijheid en Democratie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24881&did=2020D52229,de gehele investeringsportefeuille in overeenstemming brengen met de Parijsdoelstellingen,"['Tom van den Nieuwenhuijzen', 'Tom van der Lee']","['GroenLinks', 'GroenLinks']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24883&did=2020D52232,geen cent voor projecten in de fossiele industrie,['Mahir Alkaya'],['Socialistische Partij'],,,,,,,,,,,,,,,
https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2020Z24882&did=2020D52231,rekening houden met bedrijfsgrootte en administratieve draagkracht,"['Achraf Bouali', 'Arne Weverling']","['Democraten 66', 'Volkspartij voor Vrijheid en Democratie']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
